po_id,supplier_id,category_level_1,category_level_2,order_date,expected_delivery_date,actual_delivery_date,order_quantity,order_amount_eur,payment_terms_days,currency,po_status,data_source_note
PO00174,SUP060,Manufacturing,Outsourced Leather Processing,2025-07-26,2025-09-07,2025-09-14,36,11487,90,EUR,Closed,Synthetic PO records for NL2SQL demo
PO00175,SUP017,Goods,Yarns,2025-10-03,2025-11-15,2025-11-15,3677,302160.47,120,EUR,Closed,Synthetic PO records for NL2SQL demo
PO00176,SUP050,Services,Personnel (Training and HR Services),2025-08-23,2025-09-28,2025-09-28,56,5584,120,EUR,Closed,Synthetic PO records for NL2SQL demo
PO00177,SUP045,Manufacturing,Outsourcing,2025-04-28,2025-05-25,2025-05-25,23,69699,30,EUR,Closed,Synthetic PO records for NL2SQL demo
PO00178,SUP019,Manufacturing,General Processing / Manufacturing,2025-02-17,2025-03-21,2025-03-21,53,46825,30,EUR,Closed,Synthetic PO records for NL2SQL demo
PO00179,SUP021,Transportation,Passenger Transport,2025-07-01,2025-07-21,2025-07-21,18,25957,60,EUR,Closed,Synthetic PO records for NL2SQL demo
PO00180,SUP048,Goods,Yarns,2025-05-04,2025-05-27,2025-06-06,1711,121937.92,90,EUR,Closed,Synthetic PO records for NL2SQL demo
PO00181,SUP040,Services,General Administrative Services,2025-01-04,2025-02-14,2025-02-14,55,65214,90,EUR,Closed,Synthetic PO records for NL2SQL demo
PO00182,SUP057,Goods,Leathers,2025-10-22,2025-11-15,2025-11-15,4237,106425.74,60,EUR,Closed,Synthetic PO records for NL2SQL demo
PO00183,SUP035,Manufacturing,Outsourcing,2025-01-17,2025-02-25,2025-02-25,56,24911,120,EUR,Closed,Synthetic PO records for NL2SQL demo
PO00184,SUP030,Manufacturing,Outsourced Leather Processing,2025-06-11,2025-06-18,2025-06-24,21,49395,90,EUR,Closed,Synthetic PO records for NL2SQL demo
PO00185,SUP031,Services,Plant and Machinery Maintenance,2025-11-10,2025-12-08,2025-12-08,32,57567,60,EUR,Closed,Synthetic PO records for NL2SQL demo
PO00186,SUP024,Goods,Yarns,2025-07-25,2025-08-18,2025-08-18,4730,60121.98,60,EUR,Closed,Synthetic PO records for NL2SQL demo
PO00187,SUP052,Manufacturing,Outsourcing,2025-05-01,2025-06-12,2025-06-12,25,27698,60,EUR,Closed,Synthetic PO records for NL2SQL demo
PO00188,SUP031,Services,Plant and Machinery Maintenance,2025-01-05,2025-01-23,2025-01-23,9,69765,90,EUR,Closed,Synthetic PO records for NL2SQL demo
PO00189,SUP036,Goods,Fabrics,2025-10-18,2025-10-28,2025-10-28,1388,9431.5,90,EUR,Closed,Synthetic PO records for NL2SQL demo
PO00190,SUP029,Goods,Fabrics,2025-06-21,2025-07-14,2025-07-14,4640,223570.47,90,EUR,Closed,Synthetic PO records for NL2SQL demo
PO00191,SUP023,Services,Plant and Machinery Maintenance,2025-12-14,2026-01-28,2026-02-08,37,72574,60,EUR,Closed,Synthetic PO records for NL2SQL demo
PO00192,SUP044,Fixed Assets,Fixed Assets,2025-09-19,2025-10-27,2025-10-27,29,12277,120,EUR,Closed,Synthetic PO records for NL2SQL demo
PO00193,SUP010,Manufacturing,General Processing / Manufacturing,2025-03-27,2025-04-24,2025-04-24,40,55054,30,EUR,Closed,Synthetic PO records for NL2SQL demo
PO00194,SUP021,Transportation,Passenger Transport,2025-12-01,2025-12-26,2025-12-26,39,53833,90,EUR,Closed,Synthetic PO records for NL2SQL demo
PO00195,SUP024,Goods,Yarns,2025-10-28,2025-12-07,2025-12-07,3441,54095.5,30,EUR,Closed,Synthetic PO records for NL2SQL demo
PO00196,SUP017,Goods,Yarns,2025-12-25,2026-01-06,2026-01-09,3926,186208.95,30,EUR,Closed,Synthetic PO records for NL2SQL demo
PO00197,SUP060,Manufacturing,Outsourced Leather Processing,2025-07-19,2025-08-14,2025-08-20,48,39247,120,EUR,Closed,Synthetic PO records for NL2SQL demo
PO00198,SUP011,Goods,Yarns,2025-01-15,2025-01-24,2025-01-24,2714,200035.0,120,EUR,Closed,Synthetic PO records for NL2SQL demo
PO00199,SUP018,Manufacturing,Garment Manufacturing / Confection,2025-10-08,2025-11-12,2025-11-21,38,61840,120,EUR,Closed,Synthetic PO records for NL2SQL demo
PO00200,SUP031,Services,Plant and Machinery Maintenance,2025-10-04,2025-10-25,2025-10-25,29,42352,90,EUR,Closed,Synthetic PO records for NL2SQL demo
PO00201,SUP001,Goods,"Garments, Components and Trimmings",2025-01-01,2025-02-10,2025-02-10,1166,35459.49,120,EUR,Closed,Synthetic PO records for NL2SQL demo
PO00202,SUP032,Goods,Leathers,2025-09-02,2025-09-28,2025-10-02,3576,243849.83,60,EUR,Closed,Synthetic PO records for NL2SQL demo
PO00203,SUP016,Fixed Assets,Fixed Assets,2025-03-25,2025-04-25,2025-04-25,15,36469,30,EUR,Closed,Synthetic PO records for NL2SQL demo
PO00204,SUP049,Goods,Yarns,2025-11-10,2025-12-04,2025-12-04,4407,304492.32,120,EUR,Closed,Synthetic PO records for NL2SQL demo
PO00205,SUP030,Manufacturing,Outsourced Leather Processing,2025-11-13,2025-12-18,2025-12-18,40,66486,60,EUR,Closed,Synthetic PO records for NL2SQL demo
PO00206,SUP007,Goods,"Garments, Components and Trimmings",2025-05-25,2025-06-18,2025-06-22,788,11297.46,120,EUR,Closed,Synthetic PO records for NL2SQL demo
PO00207,SUP052,Manufacturing,Outsourcing,2025-09-13,2025-10-13,2025-10-13,51,6159,90,EUR,Closed,Synthetic PO records for NL2SQL demo
PO00208,SUP031,Services,Plant and Machinery Maintenance,2025-04-03,2025-04-22,2025-04-22,17,52014,30,EUR,Closed,Synthetic PO records for NL2SQL demo
PO00209,SUP016,Fixed Assets,Fixed Assets,2025-07-17,2025-08-21,2025-08-21,3,28106,120,EUR,Closed,Synthetic PO records for NL2SQL demo
PO00210,SUP025,Goods,Yarns,2025-12-15,2026-01-10,2026-01-10,1349,73043.58,30,EUR,Closed,Synthetic PO records for NL2SQL demo
PO00211,SUP008,Services,Communication and Marketing,2025-05-10,2025-06-16,2025-06-16,13,49241,30,EUR,Closed,Synthetic PO records for NL2SQL demo
PO00212,SUP008,Services,Communication and Marketing,2025-05-01,2025-06-04,2025-06-04,11,38188,30,EUR,Closed,Synthetic PO records for NL2SQL demo
PO00213,SUP003,Services,General Services,2025-10-25,2025-12-01,2025-12-01,10,50679,30,EUR,Closed,Synthetic PO records for NL2SQL demo
PO00214,SUP044,Fixed Assets,Fixed Assets,2025-11-13,2025-12-11,2025-12-11,49,9871,30,EUR,Closed,Synthetic PO records for NL2SQL demo
PO00215,SUP032,Goods,Leathers,2025-04-30,2025-05-27,2025-05-27,2895,199233.06,120,EUR,Closed,Synthetic PO records for NL2SQL demo
PO00216,SUP017,Goods,Yarns,2025-01-21,2025-02-28,2025-02-28,4629,121836.46,120,EUR,Closed,Synthetic PO records for NL2SQL demo
PO00217,SUP023,Services,Plant and Machinery Maintenance,2025-06-15,2025-07-21,2025-07-27,54,74682,60,EUR,Closed,Synthetic PO records for NL2SQL demo
PO00218,SUP017,Goods,Yarns,2025-10-05,2025-11-04,2025-11-04,4194,139812.97,60,EUR,Closed,Synthetic PO records for NL2SQL demo
PO00219,SUP024,Goods,Yarns,2025-11-14,2025-12-06,2025-12-06,568,32131.58,120,EUR,Closed,Synthetic PO records for NL2SQL demo
PO00220,SUP050,Services,Personnel (Training and HR Services),2025-10-10,2025-10-26,2025-10-26,21,55713,90,EUR,Closed,Synthetic PO records for NL2SQL demo
PO00221,SUP005,Goods,"Garments, Components and Trimmings",2025-01-23,2025-02-07,2025-02-14,1619,16216.39,120,EUR,Closed,Synthetic PO records for NL2SQL demo
PO00222,SUP001,Goods,"Garments, Components and Trimmings",2025-04-17,2025-05-25,2025-05-25,705,28723.48,30,EUR,Closed,Synthetic PO records for NL2SQL demo
PO00223,SUP057,Goods,Leathers,2025-08-01,2025-08-31,2025-08-31,527,37062.38,90,EUR,Closed,Synthetic PO records for NL2SQL demo
PO00224,SUP054,Services,Utilities,2025-06-05,2025-06-16,2025-06-16,34,14729,30,EUR,Closed,Synthetic PO records for NL2SQL demo
PO00225,SUP013,Transportation,Passenger Transport,2025-04-09,2025-05-19,2025-05-19,37,25448,120,EUR,Closed,Synthetic PO records for NL2SQL demo
PO00226,SUP037,Goods,Leathers,2025-07-03,2025-08-08,2025-08-08,3548,266990.4,60,EUR,Closed,Synthetic PO records for NL2SQL demo
PO00227,SUP033,Manufacturing,Outsourced Fabric and Yarn Processing,2025-06-22,2025-07-09,2025-07-09,39,60066,90,EUR,Closed,Synthetic PO records for NL2SQL demo
PO00228,SUP021,Transportation,Passenger Transport,2025-07-10,2025-08-12,2025-08-12,28,44395,60,EUR,Closed,Synthetic PO records for NL2SQL demo
PO00229,SUP050,Services,Personnel (Training and HR Services),2025-10-09,2025-11-01,2025-11-01,29,60654,120,EUR,Closed,Synthetic PO records for NL2SQL demo
PO00230,SUP039,Fixed Assets,Fixed Assets,2025-01-09,2025-02-18,2025-02-23,57,41562,30,EUR,Closed,Synthetic PO records for NL2SQL demo
PO00231,SUP021,Transportation,Passenger Transport,2025-01-12,2025-02-05,2025-02-05,33,74918,60,EUR,Closed,Synthetic PO records for NL2SQL demo
PO00232,SUP009,Manufacturing,Outsourced Fabric and Yarn Processing,2025-05-16,2025-06-15,2025-06-15,16,32539,90,EUR,Closed,Synthetic PO records for NL2SQL demo
PO00233,SUP005,Goods,"Garments, Components and Trimmings",2025-06-16,2025-07-23,2025-07-31,4770,333822.11,30,EUR,Closed,Synthetic PO records for NL2SQL demo
PO00234,SUP050,Services,Personnel (Training and HR Services),2025-01-29,2025-02-26,2025-02-26,53,58925,120,EUR,Closed,Synthetic PO records for NL2SQL demo
PO00235,SUP055,Services,Utilities,2025-11-05,2025-11-12,2025-11-12,41,52133,30,EUR,Closed,Synthetic PO records for NL2SQL demo
PO00236,SUP033,Manufacturing,Outsourced Fabric and Yarn Processing,2025-12-24,2026-01-14,2026-01-15,44,53495,120,EUR,Closed,Synthetic PO records for NL2SQL demo
PO00237,SUP019,Manufacturing,General Processing / Manufacturing,2025-07-21,2025-08-06,2025-08-14,4,73847,120,EUR,Closed,Synthetic PO records for NL2SQL demo
PO00238,SUP050,Services,Personnel (Training and HR Services),2025-12-24,2026-01-08,2026-01-08,31,27966,120,EUR,Closed,Synthetic PO records for NL2SQL demo
PO00239,SUP036,Goods,Fabrics,2025-11-12,2025-12-22,2025-12-22,636,15233.85,120,EUR,Closed,Synthetic PO records for NL2SQL demo
PO00240,SUP006,Goods,Yarns,2025-02-27,2025-04-01,2025-04-01,2903,51234.31,90,EUR,Closed,Synthetic PO records for NL2SQL demo
PO00241,SUP053,Services,Plant and Machinery Maintenance,2025-08-15,2025-08-31,2025-08-31,60,32603,60,EUR,Closed,Synthetic PO records for NL2SQL demo
PO00242,SUP048,Goods,Yarns,2025-01-28,2025-02-19,2025-02-19,1259,93266.97,90,EUR,Closed,Synthetic PO records for NL2SQL demo
PO00243,SUP020,Fixed Assets,Fixed Assets,2025-08-19,2025-09-25,2025-10-02,14,72517,60,EUR,Closed,Synthetic PO records for NL2SQL demo
PO00244,SUP040,Services,General Administrative Services,2025-03-14,2025-03-22,2025-03-22,58,71048,30,EUR,Closed,Synthetic PO records for NL2SQL demo
PO00245,SUP018,Manufacturing,Garment Manufacturing / Confection,2025-01-28,2025-03-05,2025-03-05,1,10729,120,EUR,Closed,Synthetic PO records for NL2SQL demo
PO00246,SUP059,Goods,Fabrics,2025-12-04,2026-01-03,2026-01-03,206,5383.94,120,EUR,Closed,Synthetic PO records for NL2SQL demo
PO00247,SUP046,Goods,Chemical Products,2025-02-20,2025-03-19,2025-03-19,4941,227413.7,60,EUR,Closed,Synthetic PO records for NL2SQL demo
PO00248,SUP036,Goods,Fabrics,2025-12-31,2026-01-08,2026-01-15,4063,140298.9,60,EUR,Closed,Synthetic PO records for NL2SQL demo
PO00249,SUP020,Fixed Assets,Fixed Assets,2025-05-01,2025-06-09,2025-06-09,4,35774,120,EUR,Closed,Synthetic PO records for NL2SQL demo
PO00250,SUP002,Goods,Fabrics,2025-10-12,2025-11-05,2025-11-05,2849,217791.77,60,EUR,Closed,Synthetic PO records for NL2SQL demo
PO00251,SUP044,Fixed Assets,Fixed Assets,2025-11-10,2025-12-01,2025-12-01,37,22021,120,EUR,Closed,Synthetic PO records for NL2SQL demo
PO00252,SUP022,Services,"Analysis and Monitoring (Water, Air, Fumes)",2025-08-18,2025-09-28,2025-10-02,42,20163,60,EUR,Closed,Synthetic PO records for NL2SQL demo
PO00253,SUP058,Goods,Yarns,2025-09-26,2025-10-11,2025-10-11,1239,69877.72,60,EUR,Closed,Synthetic PO records for NL2SQL demo
PO00254,SUP047,Fixed Assets,Fixed Assets,2025-03-02,2025-03-20,2025-03-20,57,21073,30,EUR,Closed,Synthetic PO records for NL2SQL demo
PO00255,SUP027,Manufacturing,Garment Manufacturing / Confection,2025-07-30,2025-08-25,2025-08-25,60,37887,60,EUR,Closed,Synthetic PO records for NL2SQL demo
PO00256,SUP018,Manufacturing,Garment Manufacturing / Confection,2025-11-07,2025-12-20,2025-12-20,39,32432,60,EUR,Closed,Synthetic PO records for NL2SQL demo
PO00257,SUP045,Manufacturing,Outsourcing,2025-09-02,2025-09-17,2025-09-17,39,63441,90,EUR,Closed,Synthetic PO records for NL2SQL demo
PO00258,SUP031,Services,Plant and Machinery Maintenance,2025-03-12,2025-03-29,2025-03-29,3,55554,30,EUR,Closed,Synthetic PO records for NL2SQL demo
PO00259,SUP015,Services,"Analysis and Monitoring (Water, Air, Fumes)",2025-12-10,2025-12-29,2025-12-29,5,25209,120,EUR,Closed,Synthetic PO records for NL2SQL demo
PO00260,SUP021,Transportation,Passenger Transport,2025-08-23,2025-09-14,2025-09-14,50,7482,120,EUR,Closed,Synthetic PO records for NL2SQL demo
PO00261,SUP048,Goods,Yarns,2025-10-20,2025-12-04,2025-12-04,365,16468.07,120,EUR,Closed,Synthetic PO records for NL2SQL demo
PO00262,SUP057,Goods,Leathers,2025-05-06,2025-06-15,2025-06-15,371,17882.47,30,EUR,Closed,Synthetic PO records for NL2SQL demo
PO00263,SUP057,Goods,Leathers,2025-06-05,2025-06-30,2025-06-30,3510,92297.98,30,EUR,Closed,Synthetic PO records for NL2SQL demo
PO00264,SUP030,Manufacturing,Outsourced Leather Processing,2025-11-27,2026-01-01,2026-01-04,38,73618,60,EUR,Closed,Synthetic PO records for NL2SQL demo
PO00265,SUP012,Goods,"Garments, Components and Trimmings",2025-08-21,2025-10-04,2025-10-04,1704,128188.56,30,EUR,Closed,Synthetic PO records for NL2SQL demo
PO00266,SUP059,Goods,Fabrics,2025-12-31,2026-01-17,2026-01-17,1062,9969.11,120,EUR,Closed,Synthetic PO records for NL2SQL demo
PO00267,SUP040,Services,General Administrative Services,2025-03-23,2025-04-23,2025-04-23,3,24398,90,EUR,Closed,Synthetic PO records for NL2SQL demo
PO00268,SUP010,Manufacturing,General Processing / Manufacturing,2025-03-25,2025-04-10,2025-04-15,46,8725,120,EUR,Closed,Synthetic PO records for NL2SQL demo
PO00269,SUP012,Goods,"Garments, Components and Trimmings",2025-03-02,2025-03-17,2025-03-17,78,4180.57,90,EUR,Closed,Synthetic PO records for NL2SQL demo
PO00270,SUP035,Manufacturing,Outsourcing,2025-01-03,2025-02-17,2025-02-17,16,30426,120,EUR,Closed,Synthetic PO records for NL2SQL demo
PO00271,SUP039,Fixed Assets,Fixed Assets,2025-11-04,2025-11-11,2025-11-11,36,38452,60,EUR,Closed,Synthetic PO records for NL2SQL demo
PO00272,SUP043,Manufacturing,Garment Manufacturing / Confection,2025-10-23,2025-12-07,2025-12-07,59,13495,30,EUR,Closed,Synthetic PO records for NL2SQL demo
PO00273,SUP011,Goods,Yarns,2025-12-11,2026-01-05,2026-01-05,4923,243264.69,60,EUR,Closed,Synthetic PO records for NL2SQL demo
PO00274,SUP024,Goods,Yarns,2025-01-19,2025-01-31,2025-01-31,2694,87460.65,120,EUR,Closed,Synthetic PO records for NL2SQL demo
PO00275,SUP054,Services,Utilities,2025-10-09,2025-10-20,2025-10-20,9,17993,90,EUR,Closed,Synthetic PO records for NL2SQL demo
PO00276,SUP014,Services,Facilities Management,2025-12-23,2026-01-12,2026-01-12,7,71330,30,EUR,Closed,Synthetic PO records for NL2SQL demo
PO00277,SUP060,Manufacturing,Outsourced Leather Processing,2025-12-28,2026-01-22,2026-01-22,55,43482,90,EUR,Closed,Synthetic PO records for NL2SQL demo
PO00278,SUP023,Services,Plant and Machinery Maintenance,2025-03-08,2025-04-20,2025-04-20,47,67239,120,EUR,Closed,Synthetic PO records for NL2SQL demo
PO00279,SUP015,Services,"Analysis and Monitoring (Water, Air, Fumes)",2025-12-29,2026-01-23,2026-01-23,1,17493,30,EUR,Closed,Synthetic PO records for NL2SQL demo
PO00280,SUP048,Goods,Yarns,2025-04-17,2025-05-20,2025-05-20,2784,86000.22,60,EUR,Closed,Synthetic PO records for NL2SQL demo
PO00281,SUP017,Goods,Yarns,2025-02-04,2025-03-02,2025-03-02,4555,130958.36,30,EUR,Closed,Synthetic PO records for NL2SQL demo
PO00282,SUP026,Transportation,Freight Transport / Logistics,2025-10-19,2025-10-27,2025-10-27,13,45321,90,EUR,Closed,Synthetic PO records for NL2SQL demo
PO00283,SUP031,Services,Plant and Machinery Maintenance,2025-01-19,2025-02-03,2025-02-03,41,62374,90,EUR,Closed,Synthetic PO records for NL2SQL demo
PO00284,SUP060,Manufacturing,Outsourced Leather Processing,2025-01-29,2025-03-10,2025-03-10,47,43353,30,EUR,Closed,Synthetic PO records for NL2SQL demo
PO00285,SUP052,Manufacturing,Outsourcing,2025-07-01,2025-07-12,2025-07-12,18,6085,90,EUR,Closed,Synthetic PO records for NL2SQL demo
PO00286,SUP054,Services,Utilities,2025-03-26,2025-05-08,2025-05-08,12,17315,90,EUR,Closed,Synthetic PO records for NL2SQL demo
PO00287,SUP003,Services,General Services,2025-05-20,2025-06-22,2025-06-30,54,41666,60,EUR,Closed,Synthetic PO records for NL2SQL demo
PO00288,SUP029,Goods,Fabrics,2025-09-17,2025-09-25,2025-09-25,4146,60611.5,90,EUR,Closed,Synthetic PO records for NL2SQL demo
PO00289,SUP034,Services,General Services,2025-06-08,2025-07-05,2025-07-07,56,14878,60,EUR,Closed,Synthetic PO records for NL2SQL demo
PO00290,SUP046,Goods,Chemical Products,2025-09-25,2025-10-09,2025-10-18,4918,365604.16,90,EUR,Closed,Synthetic PO records for NL2SQL demo
PO00291,SUP002,Goods,Fabrics,2025-10-23,2025-11-18,2025-11-18,1769,50411.63,60,EUR,Closed,Synthetic PO records for NL2SQL demo
PO00292,SUP050,Services,Personnel (Training and HR Services),2025-08-14,2025-08-28,2025-08-28,11,37866,30,EUR,Closed,Synthetic PO records for NL2SQL demo
PO00293,SUP023,Services,Plant and Machinery Maintenance,2025-10-09,2025-11-05,2025-11-09,46,39128,60,EUR,Closed,Synthetic PO records for NL2SQL demo
PO00294,SUP022,Services,"Analysis and Monitoring (Water, Air, Fumes)",2025-10-04,2025-11-08,2025-11-22,4,15884,120,EUR,Closed,Synthetic PO records for NL2SQL demo
PO00295,SUP054,Services,Utilities,2025-12-20,2026-01-24,2026-01-24,20,45559,60,EUR,Closed,Synthetic PO records for NL2SQL demo
PO00296,SUP035,Manufacturing,Outsourcing,2025-02-10,2025-03-18,2025-03-18,6,63377,30,EUR,Closed,Synthetic PO records for NL2SQL demo
PO00297,SUP046,Goods,Chemical Products,2025-08-27,2025-10-03,2025-10-03,1883,25905.64,90,EUR,Closed,Synthetic PO records for NL2SQL demo
PO00298,SUP045,Manufacturing,Outsourcing,2025-12-07,2026-01-04,2026-01-04,57,44567,120,EUR,Closed,Synthetic PO records for NL2SQL demo
PO00299,SUP055,Services,Utilities,2025-03-29,2025-04-23,2025-04-23,39,18697,30,EUR,Closed,Synthetic PO records for NL2SQL demo
PO00300,SUP007,Goods,"Garments, Components and Trimmings",2025-06-16,2025-07-28,2025-07-28,2524,116418.06,120,EUR,Closed,Synthetic PO records for NL2SQL demo
PO00301,SUP016,Fixed Assets,Fixed Assets,2025-10-08,2025-10-25,2025-10-25,25,10658,90,EUR,Closed,Synthetic PO records for NL2SQL demo
PO00302,SUP028,Services,General Administrative Services,2025-08-11,2025-09-23,2025-09-23,35,32953,60,EUR,Closed,Synthetic PO records for NL2SQL demo
PO00303,SUP008,Services,Communication and Marketing,2025-10-31,2025-12-15,2025-12-15,36,14799,120,EUR,Closed,Synthetic PO records for NL2SQL demo
PO00304,SUP005,Goods,"Garments, Components and Trimmings",2025-11-03,2025-11-16,2025-11-16,4935,325590.42,120,EUR,Closed,Synthetic PO records for NL2SQL demo
PO00305,SUP004,Goods,Yarns,2025-02-16,2025-03-08,2025-03-08,4807,369902.97,30,EUR,Closed,Synthetic PO records for NL2SQL demo
PO00306,SUP029,Goods,Fabrics,2025-09-30,2025-10-25,2025-10-25,4784,186593.67,60,EUR,Closed,Synthetic PO records for NL2SQL demo
PO00307,SUP037,Goods,Leathers,2025-12-14,2026-01-09,2026-01-09,3611,222149.55,90,EUR,Closed,Synthetic PO records for NL2SQL demo
PO00308,SUP040,Services,General Administrative Services,2025-09-19,2025-10-21,2025-10-21,55,40559,30,EUR,Closed,Synthetic PO records for NL2SQL demo
PO00309,SUP004,Goods,Yarns,2025-01-01,2025-02-12,2025-02-12,2992,32693.28,90,EUR,Closed,Synthetic PO records for NL2SQL demo
PO00310,SUP045,Manufacturing,Outsourcing,2025-10-30,2025-12-01,2025-12-01,46,52173,120,EUR,Closed,Synthetic PO records for NL2SQL demo
PO00311,SUP043,Manufacturing,Garment Manufacturing / Confection,2025-03-30,2025-05-06,2025-05-12,36,52409,90,EUR,Closed,Synthetic PO records for NL2SQL demo
PO00312,SUP056,Transportation,Freight Transport / Logistics,2025-12-10,2025-12-25,2025-12-31,47,65792,120,EUR,Closed,Synthetic PO records for NL2SQL demo
PO00313,SUP058,Goods,Yarns,2025-12-23,2026-02-06,2026-02-06,1522,60279.74,120,EUR,Closed,Synthetic PO records for NL2SQL demo
PO00314,SUP023,Services,Plant and Machinery Maintenance,2025-04-26,2025-05-14,2025-05-14,1,67294,60,EUR,Closed,Synthetic PO records for NL2SQL demo
PO00315,SUP060,Manufacturing,Outsourced Leather Processing,2025-10-07,2025-11-19,2025-11-19,3,65342,90,EUR,Closed,Synthetic PO records for NL2SQL demo
PO00316,SUP006,Goods,Yarns,2025-03-14,2025-04-23,2025-04-23,2339,94689.04,30,EUR,Closed,Synthetic PO records for NL2SQL demo
PO00317,SUP016,Fixed Assets,Fixed Assets,2025-08-30,2025-09-10,2025-09-10,35,42959,30,EUR,Closed,Synthetic PO records for NL2SQL demo
PO00318,SUP001,Goods,"Garments, Components and Trimmings",2025-08-29,2025-10-04,2025-10-04,3893,192913.38,90,EUR,Closed,Synthetic PO records for NL2SQL demo
PO00319,SUP052,Manufacturing,Outsourcing,2025-05-31,2025-06-25,2025-06-30,45,41855,90,EUR,Closed,Synthetic PO records for NL2SQL demo
PO00320,SUP043,Manufacturing,Garment Manufacturing / Confection,2025-05-30,2025-06-07,2025-06-07,6,18622,30,EUR,Closed,Synthetic PO records for NL2SQL demo
PO00321,SUP009,Manufacturing,Outsourced Fabric and Yarn Processing,2025-11-12,2025-12-06,2025-12-06,17,3861,30,EUR,Closed,Synthetic PO records for NL2SQL demo
PO00322,SUP048,Goods,Yarns,2025-03-19,2025-04-23,2025-04-23,1486,34974.82,60,EUR,Closed,Synthetic PO records for NL2SQL demo
PO00323,SUP056,Transportation,Freight Transport / Logistics,2025-01-17,2025-02-14,2025-02-14,10,22204,120,EUR,Closed,Synthetic PO records for NL2SQL demo
PO00324,SUP025,Goods,Yarns,2025-05-02,2025-06-06,2025-06-06,1420,27467.46,90,EUR,Closed,Synthetic PO records for NL2SQL demo
PO00325,SUP008,Services,Communication and Marketing,2025-01-27,2025-02-13,2025-02-13,31,41500,120,EUR,Closed,Synthetic PO records for NL2SQL demo
PO00326,SUP035,Manufacturing,Outsourcing,2025-04-30,2025-05-31,2025-05-31,25,64205,90,EUR,Closed,Synthetic PO records for NL2SQL demo
PO00327,SUP001,Goods,"Garments, Components and Trimmings",2025-05-28,2025-07-02,2025-07-02,2636,215673.98,30,EUR,Closed,Synthetic PO records for NL2SQL demo
PO00328,SUP023,Services,Plant and Machinery Maintenance,2025-08-10,2025-09-03,2025-09-03,18,14881,90,EUR,Closed,Synthetic PO records for NL2SQL demo
PO00329,SUP050,Services,Personnel (Training and HR Services),2025-12-12,2026-01-03,2026-01-03,38,27549,90,EUR,Closed,Synthetic PO records for NL2SQL demo
PO00330,SUP021,Transportation,Passenger Transport,2025-10-08,2025-10-15,2025-10-15,54,10906,30,EUR,Closed,Synthetic PO records for NL2SQL demo
PO00331,SUP044,Fixed Assets,Fixed Assets,2025-08-17,2025-09-15,2025-09-19,2,14050,30,EUR,Closed,Synthetic PO records for NL2SQL demo
PO00332,SUP041,Services,General Administrative Services,2025-03-04,2025-03-18,2025-03-26,39,19027,120,EUR,Closed,Synthetic PO records for NL2SQL demo
PO00333,SUP045,Manufacturing,Outsourcing,2025-04-05,2025-04-28,2025-05-03,30,38226,120,EUR,Closed,Synthetic PO records for NL2SQL demo
PO00334,SUP050,Services,Personnel (Training and HR Services),2025-02-07,2025-03-03,2025-03-03,25,52933,90,EUR,Closed,Synthetic PO records for NL2SQL demo
PO00335,SUP053,Services,Plant and Machinery Maintenance,2025-05-16,2025-06-03,2025-06-03,32,28302,120,EUR,Closed,Synthetic PO records for NL2SQL demo
PO00336,SUP010,Manufacturing,General Processing / Manufacturing,2025-10-04,2025-11-07,2025-11-10,42,15926,120,EUR,Closed,Synthetic PO records for NL2SQL demo
PO00337,SUP050,Services,Personnel (Training and HR Services),2025-08-17,2025-08-25,2025-08-25,10,2113,30,EUR,Closed,Synthetic PO records for NL2SQL demo
PO00338,SUP045,Manufacturing,Outsourcing,2025-06-18,2025-07-20,2025-07-20,33,66314,120,EUR,Closed,Synthetic PO records for NL2SQL demo
PO00339,SUP050,Services,Personnel (Training and HR Services),2025-02-05,2025-03-18,2025-03-18,25,65185,30,EUR,Closed,Synthetic PO records for NL2SQL demo
PO00340,SUP023,Services,Plant and Machinery Maintenance,2025-06-20,2025-07-16,2025-07-16,41,13883,90,EUR,Closed,Synthetic PO records for NL2SQL demo
PO00341,SUP006,Goods,Yarns,2025-08-24,2025-09-18,2025-09-18,1496,71706.81,120,EUR,Closed,Synthetic PO records for NL2SQL demo
PO00342,SUP025,Goods,Yarns,2025-02-24,2025-03-25,2025-03-25,3637,229054.52,60,EUR,Closed,Synthetic PO records for NL2SQL demo
PO00343,SUP038,Services,Facilities Management,2025-05-03,2025-06-10,2025-06-10,51,72851,90,EUR,Closed,Synthetic PO records for NL2SQL demo
PO00344,SUP052,Manufacturing,Outsourcing,2025-08-19,2025-08-27,2025-09-07,3,55150,30,EUR,Closed,Synthetic PO records for NL2SQL demo
PO00345,SUP056,Transportation,Freight Transport / Logistics,2025-10-02,2025-10-18,2025-10-18,15,11441,30,EUR,Closed,Synthetic PO records for NL2SQL demo
PO00346,SUP002,Goods,Fabrics,2025-08-30,2025-09-08,2025-09-08,1119,3351.61,30,EUR,Closed,Synthetic PO records for NL2SQL demo
PO00347,SUP007,Goods,"Garments, Components and Trimmings",2025-08-22,2025-09-08,2025-09-08,573,40018.88,30,EUR,Closed,Synthetic PO records for NL2SQL demo
PO00348,SUP040,Services,General Administrative Services,2025-04-23,2025-05-04,2025-05-04,28,46216,120,EUR,Closed,Synthetic PO records for NL2SQL demo
